celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom,companion_name,companion_judge_score,score_difference,is_eliminated_early
Billy Ray Cyrus,4,6,21.0,32.56238593,8.0,0.2939609148950663,5.0,8.0,517.0,519.0,2.0,521,1,0,0,0,0,John Ratzenberger,19.0,2.0,0
Billy Ray Cyrus,4,7,19.0,32.69503444,7.0,0.3396047893273376,5.0,8.0,518.0,519.0,1.0,520,1,0,1,0,1,John Ratzenberger,22.5,-3.5,1
Leeza Gibbons,4,1,15.0,36.9732915,19.0,0.1603596929672004,9.0,4.0,525.0,524.0,2.0,525,1,1,1,1,1,Billy Ray Cyrus,13.0,2.0,0
Cameron Mathison,5,7,25.5,32.37925308,6.0,0.4944615217732547,5.0,8.0,3.0,1.0,2.0,4,1,1,0,0,1,Jane Seymour,25.0,0.5,0
Jane Seymour,5,6,22.0,45.13861689,8.0,0.3537406572745541,6.0,7.0,4.0,4.0,1.0,77,1,0,0,0,0,Marie Osmond,23.0,-1.0,1
Floyd Mayweather Jr. ,5,1,18.0,43.35992386,14.0,0.1644101031523832,9.0,4.0,78.0,81.0,2.0,82,1,0,1,0,1,Josie Maran,16.0,2.0,0
Wayne Newton,5,2,15.0,44.56118161,12.0,0.1716183577819944,10.0,3.0,45.5,80.0,1.0,81,1,0,1,0,1,Mark Cuban,18.0,-3.0,1
Marie Osmond,5,5,21.0,33.28063219,8.5,0.2529048533956726,3.0,10.0,76.0,77.0,1.5,78,1,0,1,0,1,Mark Cuban,21.0,0.0,0
Marie Osmond,5,6,23.0,7.489060817,11.0,0.1661895803500381,3.0,10.0,77.0,77.0,2.0,77,1,1,1,1,1,Jane Seymour,22.0,1.0,0
Marie Osmond,5,8,24.5,30.95195195,7.0,0.436582362580147,3.0,10.0,11.0,11.0,1.0,12,1,1,1,1,1,Jennie Garth,25.0,-0.5,1
Marie Osmond,5,9,28.0,31.9367965,5.0,0.5772396413550421,3.0,10.0,10.0,1.0,1.0,11,1,1,0,0,1,Jennie Garth,29.0,-1.0,1
Mark Cuban,5,2,18.0,43.90999037,12.0,0.1826364825773541,8.0,5.0,45.5,79.0,2.0,81,1,0,0,0,0,Wayne Newton,15.0,3.0,0
Mark Cuban,5,3,20.0,56.40737741,10.0,0.2434808847440953,8.0,5.0,67.0,76.0,2.0,80,1,0,0,0,0,Wayne Newton,18.0,2.0,0
Mark Cuban,5,4,22.0,37.84772073,10.0,0.3027888578248613,8.0,5.0,75.0,75.0,1.0,76,1,1,1,1,1,Floyd Mayweather Jr. ,23.0,-1.0,1
Cristian de la Fuente,6,7,23.0,37.77402221,7.0,0.3819784343871297,3.0,10.0,4.0,1.0,1.0,6,1,0,0,0,0,Shannon Elizabeth,25.5,-2.5,1
Cristian de la Fuente,6,9,28.0,31.53260708,3.0,0.7151744258503235,3.0,10.0,1.5,1.0,2.0,3,1,0,0,0,0,Marissa Jaret Winokur,26.0,2.0,0
Steve Guttenberg,6,2,16.0,43.50675425,14.0,0.1646065881926223,10.0,3.0,8.5,10.0,2.0,12,1,0,0,0,0,Monica Seles,15.0,1.0,0
Priscilla Presley,6,4,22.0,33.56917699,13.0,0.221377143430158,8.0,5.0,8.0,8.0,2.0,9,1,1,1,1,1,Adam Carolla,19.0,3.0,0
Marlee Matlin,6,5,22.0,32.68044297,10.0,0.2549985377155476,7.0,6.0,6.0,6.0,2.0,8,1,0,0,0,0,Priscilla Presley,21.0,1.0,0
Marissa Jaret Winokur,6,3,19.0,41.68429967,11.0,0.2063477311103169,4.0,9.0,4.5,6.0,1.0,10,1,0,0,0,0,Steve Guttenberg,21.0,-2.0,1
Marissa Jaret Winokur,6,8,25.0,40.97935485,6.0,0.510641118476288,4.0,9.0,3.0,1.0,1.0,5,1,0,0,0,0,Jason Taylor,26.0,-1.0,1
Monica Seles,6,1,15.0,37.43672994,22.5,0.1407136240114157,11.0,2.0,12.0,12.0,1.5,12,1,1,1,1,1,Adam Carolla,15.0,0.0,0
Adam Carolla,6,1,15.0,39.36193369,17.5,0.1447754814229006,9.0,4.0,9.0,11.0,1.5,12,1,0,1,0,1,Monica Seles,15.0,0.0,0
Cloris Leachman,7,1,16.0,48.67428587,15.0,0.1575047281493375,7.0,6.0,7.5,11.0,2.0,13,1,0,0,0,0,Jeffrey Ross,12.0,4.0,0
Cloris Leachman,7,2,15.0,49.76061566,12.0,0.1853407564592777,7.0,6.0,6.5,9.0,1.0,11,1,0,0,0,0,Rocco DiSpirito,16.0,-1.0,1
Cloris Leachman,7,3,16.0,33.59944568,17.0,0.1879033925690738,7.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1,Rocco DiSpirito,20.0,-4.0,1
Cloris Leachman,7,5,21.0,34.50159648,10.5,0.2518824124006085,7.0,6.0,7.0,7.0,1.5,8,1,1,1,1,1,Lance Bass,21.0,0.0,0
Cody Linley,7,7,22.0,33.37692184,8.0,0.3502005276537125,4.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1,Warren Sapp,21.0,1.0,0
Cody Linley,7,8,24.0,31.68501778,6.5,0.4376931417492681,4.0,9.0,4.0,4.0,1.5,5,1,1,1,1,1,Maurice Greene,24.0,0.0,0
Maurice Greene,7,4,20.0,35.31677267,11.0,0.2247698008513655,5.0,8.0,5.5,8.0,2.0,9,1,0,1,0,1,Rocco DiSpirito,18.0,2.0,0
Maurice Greene,7,6,21.0,30.85078148,9.0,0.2957903779251448,5.0,8.0,4.0,6.0,2.0,7,1,0,1,0,1,Cloris Leachman,15.0,6.0,0
Warren Sapp,7,7,21.0,35.80459348,7.0,0.3579841391301802,2.0,10.0,4.0,3.0,1.0,6,1,0,0,0,0,Cody Linley,22.0,-1.0,1
Lance Bass,7,5,21.0,37.44403111,8.5,0.2641795232790274,3.0,10.0,4.0,5.0,1.5,8,1,0,0,0,0,Cloris Leachman,21.0,0.0,0
Rocco DiSpirito,7,2,16.0,48.03281947,13.0,0.1857869193190301,9.0,4.0,9.0,8.0,2.0,11,1,0,0,0,0,Cloris Leachman,15.0,1.0,0
Rocco DiSpirito,7,3,20.0,33.63410338,15.0,0.2081147823474685,9.0,4.0,8.0,8.0,2.0,9,1,1,1,1,1,Cloris Leachman,16.0,4.0,0
Lawrence Taylor,8,5,20.0,36.78797463,11.0,0.2239299037443787,7.0,7.0,2308.0,2308.0,2.0,2310,1,0,0,0,0,Steve-O,18.0,2.0,0
Ty Murray,8,1,14.0,43.54217805,17.0,0.1368082277127867,4.0,10.0,2310.0,2313.0,2.0,2314,1,0,1,0,1,Steve Wozniak,13.0,1.0,0
Ty Murray,8,6,18.0,42.56929337,8.0,0.267923169621875,4.0,10.0,1281.0,2307.0,2.0,2309,1,0,0,0,0,Steve-O,16.0,2.0,0
Ty Murray,8,7,24.0,8.650826719,11.0,0.184754963918412,4.0,10.0,2306.5,2306.0,2.0,2307,1,1,1,1,1,Lawrence Taylor,21.0,3.0,0
Ty Murray,8,9,23.0,34.02199188,6.0,0.4317081628008322,4.0,10.0,1281.0,2305.0,1.0,2306,1,0,1,0,1,Lil' Kim,26.0,-3.0,1
Steve Wozniak,8,1,13.0,41.38171737,21.0,0.1287635284215857,10.0,4.0,2313.0,2314.0,1.0,2314,1,1,1,1,1,Ty Murray,14.0,-1.0,1
Steve Wozniak,8,3,10.0,52.72939873,13.0,0.1560247376284437,10.0,4.0,2307.5,2310.0,1.0,2313,1,0,0,0,0,Steve-O,15.0,-5.0,1
Steve-O,8,2,14.0,46.1236849,14.0,0.1435331575587459,8.0,6.0,2307.5,2312.0,1.0,2314,1,0,0,0,0,David Alan Grier,17.0,-3.0,1
Steve-O,8,3,15.0,50.66104831,14.0,0.1711339100529874,8.0,6.0,2310.0,2309.0,2.0,2313,1,0,0,0,0,Steve Wozniak,10.0,5.0,0
Steve-O,8,4,15.0,42.06590608,11.0,0.2106043589677059,8.0,6.0,2308.0,2308.0,2.0,2310,1,0,0,0,0,Steve Wozniak,12.0,3.0,0
Steve-O,8,5,18.0,38.27268701,10.0,0.2195999197359879,8.0,6.0,2305.0,2309.0,1.0,2310,1,0,1,0,1,Lawrence Taylor,20.0,-2.0,1
Louie Vito,9,4,16.0,38.19533441,14.5,0.1797066794439785,8.0,6.0,9.0,9.0,1.5,10,1,1,1,1,1,Michael Irvin,16.0,0.0,0
Michael Irvin,9,3,14.0,50.98475993,15.0,0.1625428555034184,7.0,7.0,10.0,10.0,1.0,13,1,0,0,0,0,Tom DeLay,15.0,-1.0,1
Michael Irvin,9,4,16.0,39.36499756,12.5,0.1831851980112424,7.0,7.0,6.0,8.0,1.5,10,1,0,0,0,0,Louie Vito,16.0,0.0,0
Michael Irvin,9,5,21.0,37.45193604,12.0,0.2059491133577568,7.0,7.0,5.0,6.0,1.0,10,1,0,0,0,0,Louie Vito,22.0,-1.0,1
Michael Irvin,9,6,21.9998,40.82824279,11.0,0.2409645688406598,7.0,7.0,6.5,6.0,1.0,9,1,0,0,0,0,Melissa Joan Hart,23.9999,-2.0000999999999998,1
Tom DeLay,9,2,18.0,43.03028972,20.5,0.1586323553782632,13.0,3.0,10.0,10.0,1.5,11,1,1,1,1,1,Kathy Ireland,18.0,0.0,0
Donny Osmond,9,8,25.0,34.62252821,5.5,0.4425354384641823,1.0,10.0,4.0,3.0,1.5,5,1,1,0,0,1,Aaron Carter,25.0,0.0,0
Donny Osmond,9,9,24.666600000000003,38.12124933,5.0,0.5693418875794405,1.0,10.0,2.5,2.0,1.0,4,1,0,0,0,0,Kelly Osbourne,25.9998,-1.333199999999998,1
Aiden Turner,10,1,15.0,55.75860158,12.0,0.1848073454470475,9.0,4.0,5.5,9.0,2.0,12,1,0,0,0,0,Buzz Aldrin,14.0,1.0,0
Niecy Nash,10,6,25.9998,33.84161077,8.0,0.2930039222993441,5.0,8.0,5.0,7.0,2.0,8,1,0,1,0,1,Jake Pavelka,24.9999,0.9999000000000002,0
Niecy Nash,10,7,24.5,35.7777715,7.0,0.3681619290606642,5.0,8.0,5.0,1.0,1.0,7,1,0,0,0,0,Pamela Anderson,25.5,-1.0,1
Buzz Aldrin,10,1,14.0,56.27530751,12.0,0.1810701521204735,10.0,3.0,5.5,10.0,1.0,12,1,0,0,0,0,Aiden Turner,15.0,-1.0,1
Buzz Aldrin,10,2,12.0,36.98864484,20.0,0.159910581466835,10.0,3.0,10.0,10.0,1.0,10,1,1,1,1,1,Kate Gosselin,15.0,-3.0,1
Chad Ochocinco,10,8,22.5,32.40413141,5.0,0.428970163630894,4.0,9.0,2.5,4.0,2.0,5,1,0,1,0,1,Niecy Nash,21.5,1.0,0
Kate Gosselin,10,2,15.0,37.91803457,16.0,0.1761943864270013,8.0,5.0,9.0,9.0,2.0,10,1,1,1,1,1,Buzz Aldrin,12.0,3.0,0
Kate Gosselin,10,3,15.0,39.14278049,11.0,0.1873495021491635,8.0,5.0,5.0,10.0,2.0,11,1,0,1,0,1,Buzz Aldrin,13.0,2.0,0
Kate Gosselin,10,4,16.0,37.94932117,12.0,0.2147079130903031,8.0,5.0,8.0,9.0,1.0,10,1,0,1,0,1,Aiden Turner,16.5,-0.5,1
Kurt Warner,11,6,21.9999,40.8362184,9.0,0.2851397567679644,5.0,8.0,21.0,21.0,1.0,22,1,1,1,1,1,Bristol Palin,27.9998,-5.9999,1
Margaret Cho,11,1,15.0,45.65984248,19.0,0.1538839946168418,10.0,3.0,26.0,26.0,2.0,27,1,1,1,1,1,David Hasselhoff,15.0,0.0,0
The Situation,11,1,15.0,47.61172184,15.0,0.1576374937811727,9.0,4.0,23.5,25.0,2.0,27,1,0,0,0,0,David Hasselhoff,15.0,0.0,0
Ralph Macchio,12,5,22.0,37.24120394,9.0,0.2609367852459647,4.0,9.0,259.5,261.0,2.0,263,1,0,0,0,0,Kendra Wilkinson,22.0,0.0,0
Ralph Macchio,12,6,24.0,33.02676522,9.0,0.2983339881580523,4.0,9.0,260.0,261.0,2.0,262,1,0,1,0,1,Chris Jericho,22.0,2.0,0
Ralph Macchio,12,8,23.0,26.14639927,9.0,0.4139347973854023,4.0,9.0,259.0,259.0,1.0,259,1,1,1,1,1,Kirstie Alley,26.5,-3.5,1
Sugar Ray Leonard,12,2,17.0,44.01487111,14.0,0.1787917417843285,9.0,4.0,263.0,264.0,2.0,266,1,0,0,0,0,Mike Catherwood,17.0,0.0,0
Mike Catherwood,12,1,13.0,41.40435522,22.0,0.1478101289900376,11.0,2.0,266.0,266.0,1.0,266,1,1,1,1,1,Wendy Williams,14.0,-1.0,1
Wendy Williams,12,1,14.0,43.52829971,17.0,0.1570017642300988,10.0,3.0,264.5,265.0,2.0,266,1,0,1,0,1,Mike Catherwood,13.0,1.0,0
Wendy Williams,12,2,17.0,43.13359975,15.0,0.1767877663275197,10.0,3.0,265.0,265.0,2.0,266,1,1,1,1,1,Mike Catherwood,17.0,0.0,0
Kendra Wilkinson,12,4,18.0,42.51382499,10.0,0.22626256072268,6.0,7.0,260.5,263.0,1.0,264,1,0,1,0,1,Sugar Ray Leonard,21.0,-3.0,1
Kendra Wilkinson,12,5,22.0,37.1534259,10.0,0.2605890438337374,6.0,7.0,261.5,262.0,2.0,263,1,0,1,0,1,Ralph Macchio,22.0,0.0,0
Elisabetta Canalis,13,1,15.0,48.03695399,19.0,0.1581269472149228,11.0,2.0,11.0,11.0,2.0,12,1,1,1,1,1,Metta World Peace (Ron),14.0,1.0,0
Hope Solo,13,6,20.0,35.67407323,8.0,0.2883415277949779,4.0,9.0,5.0,6.0,2.0,7,1,0,1,0,1,Chaz Bono,19.0,1.0,0
Carson Kressley,13,4,20.0,40.90686012,12.0,0.2218607957507594,8.0,5.0,7.0,8.0,1.0,9,1,0,1,0,1,Nancy Grace,21.0,-1.0,1
Chaz Bono,13,2,17.0,50.94656321,12.0,0.1815533306256557,7.0,6.0,6.0,10.0,1.0,11,1,0,1,0,1,David Arquette,18.0,-1.0,1
Chaz Bono,13,3,18.0,49.0098664,11.0,0.1986096954838757,7.0,6.0,5.5,9.0,1.0,10,1,0,1,0,1,Nancy Grace,21.0,-3.0,1
Chaz Bono,13,5,21.0,36.97476195,10.0,0.2566025415853272,7.0,6.0,7.0,7.0,2.0,8,1,1,1,1,1,Carson Kressley,19.0,2.0,0
Nancy Grace,13,3,21.0,48.35706824,11.0,0.2096341209455777,5.0,8.0,5.5,5.0,2.0,10,1,0,0,0,0,Chaz Bono,18.0,3.0,0
Nancy Grace,13,7,22.0,37.2686222,7.0,0.3620849003149216,5.0,8.0,4.5,4.0,1.0,6,1,0,0,0,0,David Arquette,23.5,-1.5,1
Roshon Fegan,14,6,27.9998,34.45066499,12.0,0.2485986601301635,6.0,8.0,7.0,7.0,2.0,8,1,1,1,1,1,Gladys Knight,24.0,3.9998000000000005,0
Melissa Gilbert,14,1,20.0,46.73926718,18.0,0.1559676597669957,5.0,8.0,10.0,10.0,2.0,12,1,0,0,0,0,Martina Navratilova,20.0,0.0,0
Melissa Gilbert,14,5,21.0,37.3783958,10.0,0.2215864118224237,5.0,8.0,5.0,7.0,2.0,9,1,0,0,0,0,Gavin DeGraw,19.0,2.0,0
Melissa Gilbert,14,7,23.5,38.7908166,8.0,0.3104668618720697,5.0,8.0,5.0,4.0,1.0,7,1,0,0,0,0,Jaleel White,25.5,-2.0,1
Martina Navratilova,14,1,20.0,43.62598033,23.0,0.1505127555971199,12.0,2.0,12.0,12.0,2.0,12,1,1,1,1,1,Melissa Gilbert,20.0,0.0,0
Gavin DeGraw,14,1,20.0,46.02845438,19.0,0.15472221856818,9.0,5.0,11.0,11.0,2.0,12,1,1,1,1,1,Martina Navratilova,20.0,0.0,0
Gladys Knight,14,2,19.0,46.24912541,17.0,0.1630667483156767,8.0,6.0,9.5,11.0,2.0,12,1,0,1,0,1,Martina Navratilova,17.0,2.0,0
Gladys Knight,14,4,20.0,40.96348232,13.0,0.2000265857657043,8.0,6.0,8.5,9.0,1.0,10,1,0,1,0,1,Sherri Sheperd,21.0,-1.0,1
Katherine Jenkins,14,9,28.0,43.47927157,5.0,0.5850035390329319,2.0,10.0,2.5,1.0,1.0,4,1,0,0,0,0,Donald Driver,28.5,-0.5,1
Maria Menounos,14,8,26.5,41.35266685,7.0,0.3983910863062005,4.0,9.0,4.0,3.0,2.0,6,1,0,0,0,0,Melissa Gilbert,25.5,1.0,0
Ingo Rademacher,16,8,24.0,32.31281419,8.0,0.3497386725317086,5.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1,Sean Lowe,21.0,3.0,0
Victor Ortiz,16,4,18.0,41.01982609,10.5,0.1939241966504459,8.0,6.0,5.5,9.0,1.5,10,1,0,1,0,1,Lisa Vanderpump,18.0,0.0,0
D. L. Hughley,16,1,12.0,46.46413663,23.0,0.1325600187185397,9.0,5.0,12.0,12.0,1.0,12,1,1,1,1,1,Andy Dick,17.0,-5.0,1
D. L. Hughley,16,2,16.0,47.07928269,15.0,0.1569386274066297,9.0,5.0,7.5,11.0,2.0,12,1,0,1,0,1,Dorothy Hamill,15.0,1.0,0
D. L. Hughley,16,3,16.0,43.31498728,11.0,0.1702586366096966,9.0,5.0,5.5,10.0,2.0,11,1,0,1,0,1,Wynonna Judd,15.0,1.0,0
Andy Dick,16,1,17.0,47.02399139,20.0,0.1553599213261496,7.0,7.0,11.0,11.0,2.0,12,1,1,1,1,1,D. L. Hughley,12.0,5.0,0
Andy Dick,16,5,18.0,38.79553833,9.5,0.2148922335246569,7.0,7.0,5.5,8.0,1.5,9,1,0,1,0,1,D. L. Hughley,18.0,0.0,0
Andy Dick,16,6,21.5,35.27218013,9.0,0.2564560851118306,7.0,7.0,5.0,7.0,2.0,8,1,0,1,0,1,Victor Ortiz,20.0,1.5,0
Sean Lowe,16,7,24.0,32.57020902,10.0,0.2923299851091577,6.0,8.0,6.0,6.0,2.0,7,1,1,1,1,1,Andy Dick,17.0,7.0,0
Valerie Harper,17,3,16.0,45.21897192,15.5,0.164144001231383,10.0,4.0,10.0,10.0,1.5,11,1,1,1,1,1,Bill Nye,16.0,0.0,0
Elizabeth Berkley Lauren,17,8,25.0,36.93240985,8.0,0.2991074231872494,6.0,9.0,4.5,6.0,2.0,7,1,0,1,0,1,Bill Engvall,24.0,1.0,0
Leah Remini,17,5,22.0,48.76644051,11.0,0.2305829397398372,5.0,10.0,6.5,5.0,1.0,9,1,0,0,0,0,Bill Engvall,24.0,-2.0,1
Leah Remini,17,7,26.5,37.22919192,9.0,0.2643305083435096,5.0,10.0,4.5,5.0,2.0,8,1,0,0,0,0,Bill Engvall,25.0,1.5,0
Amber Riley,17,9,25.5,37.17446652,7.0,0.3577855673868788,1.0,11.0,3.5,4.0,2.0,6,1,0,0,0,0,Bill Engvall,21.0,4.5,0
Keyshawn Johnson,17,1,17.0,49.02200072,20.0,0.1470600755449795,12.0,2.0,10.0,11.0,2.0,12,1,0,1,0,1,Bill Nye,14.0,3.0,0
Bill Engvall,17,5,24.0,50.00118993,9.0,0.2425615077576893,4.0,11.0,3.0,1.0,2.0,9,1,0,0,0,0,Leah Remini,22.0,2.0,0
Bill Engvall,17,6,23.9999,36.85524683,9.0,0.2404297451708196,4.0,11.0,4.0,8.0,1.0,8,1,0,1,0,1,Jack Osbourne,26.9998,-2.9999000000000002,1
Bill Engvall,17,7,25.0,42.15372187,9.0,0.2766977415474123,4.0,11.0,4.5,1.0,1.0,8,1,0,0,0,0,Leah Remini,26.5,-1.5,1
Bill Engvall,17,8,24.0,41.55079806,8.0,0.3150198769465855,4.0,11.0,4.5,1.0,1.0,7,1,0,0,0,0,Elizabeth Berkley Lauren,25.0,-1.0,1
Bill Engvall,17,9,21.0,43.36622282,7.0,0.3618399254085263,4.0,11.0,3.5,3.0,1.0,6,1,0,0,0,0,Amber Riley,25.5,-4.5,1
Bill Engvall,17,10,30.0,38.09114639,6.0,0.4431292266015325,4.0,11.0,4.0,3.0,1.0,5,1,1,0,0,1,Leah Remini,32.5,-2.5,1
Jack Osbourne,17,6,26.9998,34.57844838,10.0,0.2449817570915848,3.0,11.0,5.5,6.0,2.0,8,1,0,0,0,0,Bill Engvall,23.9999,2.9999000000000002,0
Bill Nye,17,1,14.0,47.22432712,23.0,0.132383689161484,11.0,3.0,12.0,12.0,1.0,12,1,1,1,1,1,Keyshawn Johnson,17.0,-3.0,1
Bill Nye,17,2,17.0,48.27606803,20.0,0.1526519999614087,11.0,3.0,11.0,11.0,1.0,12,1,1,1,1,1,Keyshawn Johnson,18.0,-1.0,1
Billy Dee Williams,18,1,15.0,57.68946308,16.0,0.1513369997089281,10.0,2.0,9.0,11.0,1.0,12,1,0,1,0,1,Diana Nyad,18.0,-3.0,1
James Maslow,18,7,35.0,37.96034505,7.0,0.3127813789954858,4.0,10.0,4.0,4.0,2.0,7,1,0,0,0,0,NeNe Leakes,33.0,2.0,0
James Maslow,18,8,36.0,41.81495142,6.0,0.3733801543778454,4.0,10.0,2.0,1.0,2.0,6,1,0,0,0,0,Candace Cameron Bure,36.0,0.0,0
Candace Cameron Bure,18,4,28.0,42.867629,10.0,0.2462397900595839,3.0,10.0,4.0,5.0,1.0,7,1,0,0,0,0,Cody Simpson,31.0,-3.0,1
Candace Cameron Bure,18,6,32.0,42.57468622,8.5,0.2717791963057316,3.0,10.0,4.0,3.0,1.5,8,1,0,0,0,0,Drew Carey,32.0,0.0,0
Candace Cameron Bure,18,8,36.0,40.72103482,7.0,0.3677794173385441,3.0,10.0,4.0,2.0,2.0,6,1,0,0,0,0,James Maslow,36.0,0.0,0
Candace Cameron Bure,18,9,36.0,40.9755659,6.0,0.4558693016447288,3.0,10.0,4.0,1.0,1.0,5,1,1,0,0,1,James Maslow,38.0,-2.0,1
Drew Carey,18,3,30.0,5.8994373,17.0,0.1113451659119506,8.0,6.0,9.0,9.0,1.0,9,1,1,1,1,1,NeNe Leakes,31.0,-1.0,1
Drew Carey,18,5,28.0,43.11289905,11.0,0.217743224122479,8.0,6.0,6.0,8.0,1.0,9,1,0,1,0,1,Cody Simpson,34.0,-6.0,1
Cody Simpson,18,4,31.0,36.92843243,15.0,0.2352866322064525,9.0,5.0,7.0,7.0,2.0,7,1,1,1,1,1,Candace Cameron Bure,28.0,3.0,0
NeNe Leakes,18,3,31.0,55.71393199,11.0,0.240224526209328,7.0,7.0,6.0,7.0,2.0,9,1,0,0,0,0,Drew Carey,30.0,1.0,0
Antonio Sabato Jr.,19,6,28.0,40.84477695,10.5,0.2215843474557352,8.0,7.0,6.0,8.0,1.5,9,1,0,1,0,1,Tommy Chong,28.0,0.0,0
Jonathan Bennett,19,4,24.0,45.76899458,14.0,0.1876193555138274,9.0,6.0,9.0,9.0,1.0,10,1,1,1,1,1,Michael Waltrip,25.0,-1.0,1
Tommy Chong,19,5,23.0,36.56583756,13.0,0.197267239686504,5.0,10.0,6.5,7.0,2.0,9,1,0,0,0,0,Michael Waltrip,20.0,3.0,0
Tommy Chong,19,6,28.0,43.4634908,9.5,0.229664045918547,5.0,10.0,5.0,6.0,1.5,9,1,0,0,0,0,Antonio Sabato Jr.,28.0,0.0,0
Tommy Chong,19,8,29.0,35.8987927,7.0,0.2890550978937102,5.0,10.0,4.0,6.0,2.0,7,1,0,1,0,1,Michael Waltrip,25.0,4.0,0
